UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100043,4,10,446,Pr101207,Windows,Pr100017,14,28
U100044,1,1,75,Product101,Windows,Product101,0,1
U100045,3,4,348,Pr100470,Android,Pr100642,3,0
U100047,0,1,320,Product101,Windows,Product101,0,0
U100048,0,1,81,Product101,Mac OS X,Pr100080,0,0
U100049,1,1,222,Pr100025,Android,Pr100025,1,1
U100050,5,4,64,Pr100190,Windows,Pr100178,28,21
U100051,3,6,2257,Pr101587,Android,Pr100316,6,0
U100052,0,2,97,Pr100069,Linux,Pr100069,0,0
U100053,0,0,49,Product101,Windows,Pr100268,0,0
U100054,0,1,1472,Product101,Android,Pr101320,0,0
U100056,1,1,93,Product101,Android,Pr100272,0,0
U100057,1,1,50,Pr100184,Android,Pr100184,1,0
U100058,5,3,889,Pr100166,Windows,Pr100166,8,0
U100059,1,1,499,Product101,Android,Product101,0,0
U100061,2,4,57,Pr100642,Android,Pr100025,2,0
U100062,0,0,65,Product101,Windows,Product101,0,0
U100063,2,5,1066,Pr100258,Mac OS X,Pr100025,1,0
U100065,1,4,655,Pr100015,Android,Pr100047,2,3
U100066,2,2,154,Pr100942,Android,Pr100498,2,0
U100067,2,1,506,Pr100102,Android,Pr100102,4,25
U100068,1,1,273,Pr100498,Android,Pr100498,1,0
U100069,4,9,1778,Pr100657,Windows,Pr100210,8,72
U100070,5,27,585,Pr100166,Windows,Pr100044,36,58
U100071,0,11,89,Pr100430,Android,Pr100430,0,0
U100072,0,0,66,Product101,Android,Product101,0,0
U100073,2,1,85,Pr100178,Windows,Pr100178,2,0
U100074,0,1,46,Pr100341,Linux,Pr100341,0,0
U100075,2,2,465,Pr101618,Linux,Pr101618,2,0
U100076,1,3,85,Pr100025,Android,Pr100025,2,0
U100077,0,5,1058,Pr100101,Android,Pr100101,0,0
U100078,3,7,75,Pr101111,Android,Pr101686,2,1
U100079,3,5,48,Pr100060,Mac OS X,Pr100199,4,36
U100080,5,8,252,Pr100036,Windows,Pr100275,9,30
U100081,5,35,699,Pr101637,Windows,Pr100089,47,49
U100082,2,6,130,Pr100069,Windows,Pr102075,4,1
U100083,3,4,138,Pr100003,Windows,Pr100340,4,4
U100084,2,8,58,Pr101249,Android,Pr100073,7,1
U100085,2,4,67,Pr100994,Windows,Pr100994,2,0
U100086,0,0,379,Product101,Windows,Pr100901,0,0
U100088,2,16,45,Pr100166,Ubuntu,Pr100390,5,3
U100089,7,10,1576,Pr101975,Android,Pr102168,12,4
U100090,3,12,747,Pr100301,Mac OS X,Pr102621,4,1
U100091,2,12,108,Pr100166,Windows,Pr100166,21,37
U100092,1,4,476,Pr100900,Mac OS X,Pr100900,3,42
U100093,1,3,61,Pr100060,Windows,Pr100059,4,28
U100094,0,0,111,Product101,Windows,Pr100274,0,0
U100095,5,14,1146,Pr101312,Mac OS X,Pr100370,9,8
U100096,7,26,836,Pr100098,Windows,Pr100648,58,6
U100097,1,1,75,Product101,Windows,Pr100146,0,1
U100098,1,14,233,Pr100166,Windows,Pr100404,2,3
U100100,2,4,82,Pr100086,Windows,Pr100086,2,14
U100101,1,1,1441,Pr100438,Windows,Pr100438,1,0
U100102,5,18,88,Pr100390,Mac OS X,Pr100340,32,41
U100103,0,1,44,Pr100444,Windows,Pr100444,0,0
U100104,0,0,1173,Product101,Windows,Pr101559,0,0
U100105,4,3,314,Pr100390,Windows,Pr100390,10,11
U100109,1,2,43,Pr100025,Android,Pr102998,2,1
U100110,4,7,447,Pr100182,Windows,Pr100811,3,2
U100111,0,0,348,Product101,Windows,Product101,0,0
U100112,3,3,71,Pr100210,Android,Pr100210,2,0
U100113,1,6,163,Pr100044,Windows,Pr100044,3,7
U100115,1,11,50,Pr100997,Mac OS X,Pr100997,3,35
U100116,0,0,48,Product101,Mac OS X,Product101,0,0
U100117,0,0,161,Product101,Android,Product101,0,0
U100118,4,8,116,Pr100390,Windows,Pr100123,14,12
U100119,1,1,796,Pr100146,Windows,Pr100146,1,0
U100122,0,0,59,Product101,Windows,Pr100885,0,0
U100123,1,1,244,Pr100876,Mac OS X,Pr100876,1,0
U100125,1,3,547,Pr100739,Android,Pr102519,1,0
U100126,1,2,83,Pr101686,Android,Pr101686,1,0
U100127,0,0,122,Product101,Windows,Product101,0,0
U100129,1,1,788,Pr100137,Mac OS X,Pr100137,1,1
U100130,1,1,60,Pr100102,Windows,Pr100102,2,0
U100131,1,1,109,Pr100073,Android,Pr100073,1,0
U100132,1,2,77,Product101,Windows,Pr100019,0,2
U100134,2,10,485,Pr101934,Windows,Pr100498,3,0
U100136,4,12,155,Pr100022,Windows,Pr100055,16,47
U100137,0,1,49,Pr100469,Windows,Pr100469,0,0
U100138,3,7,142,Pr100908,Windows,Pr100060,6,7
U100139,3,7,321,Pr100003,Windows,Pr100051,6,2
U100141,2,6,57,Pr100316,Windows,Pr100316,4,8
U100142,2,4,455,Pr100162,Windows,Pr100162,4,4
U100144,0,4,66,Pr100735,Windows,Pr100013,0,0
U100145,6,8,112,Pr100390,Mac OS X,Pr100390,12,29
U100146,0,1,117,Product101,Android,Product101,0,0
U100149,1,1,297,Pr100500,Android,Pr100500,1,1
U100150,1,2,229,Pr101312,Android,Pr101312,2,0
U100151,3,7,319,Pr100859,Windows,Pr100273,2,7
U100152,2,4,751,Pr100758,Windows,Pr100758,4,11
U100156,2,2,149,Product101,Android,Product101,0,1
U100157,1,1,157,Pr100355,Windows,Pr100355,1,1
U100158,2,14,1190,Pr100051,Windows,Pr100557,9,5
U100159,2,2,286,Pr100318,Android,Pr100318,1,0
U100161,1,2,425,Pr100279,Windows,Pr100279,0,0
U100162,4,6,945,Pr101003,Mac OS X,Pr100500,10,7
U100163,4,12,1546,Pr100390,Mac OS X,Pr100811,9,10
U100164,5,11,182,Pr100166,Windows,Pr100390,50,63
U100165,0,0,125,Product101,Android,Pr100023,0,0
U100166,1,1,52,Pr100130,Android,Pr100130,1,0
U100167,6,26,247,Pr100044,Windows,Pr100210,20,17
U100168,3,5,993,Pr100017,Android,Pr104035,3,2
U100169,4,5,235,Pr100654,Windows,Pr100044,3,4
U100170,1,1,63,Pr100279,Windows,Pr100279,1,0
U100171,2,1,111,Pr100470,Android,Pr100470,3,2
U100173,2,6,43,Pr100893,Windows,Pr100910,2,2
U100174,5,3,129,Pr100051,Windows,Pr100051,8,3
U100175,2,2,1920,Product101,Windows,Pr103867,0,8
U100176,4,13,111,Pr100102,Android,Pr103636,5,34
U100177,2,7,185,Pr100475,Windows,Pr100475,9,5
U100178,1,1,2141,Product101,Android,Pr100633,0,1
U100179,2,6,160,Pr100120,Windows,Pr100225,10,7
U100180,2,11,84,Pr100515,Windows,Pr100036,8,8
U100181,2,29,266,Pr100417,Mac OS X,Pr100560,15,0
U100182,0,0,48,Product101,Android,Pr100317,0,0
U100183,1,1,106,Pr100500,Windows,Pr100500,1,1
U100184,0,2,124,Pr100189,Windows,Pr100513,0,0
U100185,1,1,109,Product101,Android,Product101,0,0
U100186,0,3,57,Pr100147,Android,Pr100145,0,0
U100187,2,3,334,Pr100767,Android,Pr100767,4,22
U100188,6,10,203,Pr100852,Windows,Pr100764,12,8
U100190,1,1,697,Pr100279,Windows,Pr100279,1,0
U100191,4,7,86,Pr100557,Android,Pr100234,8,1
U100192,0,0,121,Product101,Windows,Pr100017,0,0
U100193,2,6,371,Pr100470,Windows,Pr100560,4,20
U100194,1,2,52,Pr100258,Android,Pr101111,1,0
U100197,0,1,860,Pr100459,Mac OS X,Pr100459,0,0
U100198,2,6,480,Pr100057,Windows,Pr100870,2,6
U100200,0,1,394,Pr100298,Windows,Pr100047,0,0
U100203,2,2,281,Pr101031,Mac OS X,Pr101031,3,2
U100204,1,1,323,Product101,Windows,Pr105130,2,4
U100205,4,1,43,Pr100023,Windows,Pr100023,4,5
U100207,2,5,141,Pr100135,Windows,Pr100307,1,1
U100208,1,6,43,Pr100003,Mac OS X,Pr100152,1,3
U100209,2,4,183,Pr100070,Windows,Pr100275,7,1
U100210,3,11,370,Pr100085,Windows,Pr101062,3,3
U100211,1,4,52,Pr100945,Android,Pr100945,2,1
U100213,1,2,177,Pr100054,Windows,Pr100054,1,0
U100214,2,2,155,Pr100359,Windows,Pr100359,2,1
U100215,0,0,163,Product101,Linux,Pr100037,0,0
U100216,0,1,863,Product101,Mac OS X,Pr100135,0,0
U100217,1,3,269,Pr100119,Mac OS X,Pr100086,1,6
U100218,0,1,43,Product101,Android,Product101,0,0
U100219,1,2,435,Pr100316,Windows,Pr100316,2,1
U100220,4,9,497,Pr100446,Windows,Pr100099,13,123
U100221,4,4,206,Pr100182,Android,Pr100182,6,0
U100223,1,3,355,Pr100745,Windows,Pr100745,0,78
U100224,1,1,63,Pr100039,Android,Pr100039,1,0
U100225,0,1,1188,Pr100432,Mac OS X,Pr100432,0,0
U100226,2,2,160,Pr100591,Windows,Pr100591,1,4
U100228,1,3,169,Pr100282,Android,Pr100352,1,0
U100229,1,1,64,Pr101273,Android,Pr101273,1,0
U100231,4,10,123,Pr102405,Windows,Pr100352,6,35
U100232,1,4,979,Pr101515,Windows,Pr100182,2,4
U100233,1,4,238,Pr100152,Windows,Pr100152,2,0
U100234,2,2,363,Pr100113,Windows,Pr100113,4,2
U100235,2,1,1078,Pr100438,Windows,Pr100438,2,1
U100236,0,1,263,Pr100258,Android,Pr100258,0,0
U100238,0,2,277,Pr100102,Windows,Pr100041,0,0
U100239,1,4,2047,Pr101257,Linux,Pr100630,1,0
U100241,0,1,74,Pr100166,Android,Pr100166,0,0
U100242,2,4,55,Pr100593,Android,Pr100593,4,12
U100243,6,24,323,Pr100123,Android,Pr100616,26,15
U100245,4,13,1866,Pr100593,Android,Pr100014,23,18
U100246,3,1,307,Pr100975,Android,Pr100975,3,0
U100248,3,3,1077,Pr100316,Android,Pr100316,4,0
U100249,1,1,425,Pr100788,Android,Pr100788,1,1
U100250,1,6,47,Pr100534,Windows,Pr100534,0,2
U100251,2,2,1453,Pr100118,Windows,Pr100118,3,0
U100255,6,5,73,Pr100051,Mac OS X,Pr100051,12,5
U100256,0,0,901,Product101,Android,Pr100413,0,0
U100257,1,1,101,Pr100401,Windows,Pr100401,1,2
U100258,1,5,210,Pr100044,Windows,Pr100044,2,3
U100259,4,14,1975,Pr101701,Android,Pr100025,13,1
U100260,2,1,86,Pr100369,Android,Pr100369,2,0
U100261,0,4,656,Pr100017,Windows,Pr100017,0,0
U100262,1,0,49,Product101,Windows,Pr100719,1,0
U100263,1,1,126,Product101,Android,Pr100102,0,1
U100264,5,2,308,Pr100143,Android,Pr101637,6,0
U100265,1,3,547,Pr100010,Android,Pr100010,1,0
U100266,2,8,103,Pr100341,Windows,Pr100153,2,1
U100267,4,24,185,Pr101042,Windows,Pr101452,62,845
U100268,5,9,934,Pr100960,Windows,Pr100960,14,9
U100269,1,2,2118,Pr100997,iOS,Pr100997,2,1
U100270,1,2,451,Pr100279,Windows,Pr100138,1,0
U100271,0,1,517,Pr100226,Android,Pr100226,0,0
U100272,2,2,70,Pr100166,Android,Pr100498,2,3
U100273,3,15,128,Pr100294,Windows,Pr100060,3,5
U100274,6,10,186,Pr100047,Windows,Pr100014,18,6
U100275,1,2,767,Pr101680,Android,Pr101680,1,1
U100276,0,21,556,Pr100246,Windows,Pr101451,0,0
U100277,0,0,210,Product101,Windows,Pr100060,0,0
U100278,3,3,664,Pr100945,Android,Pr100039,4,0
U100279,5,5,192,Pr100702,Windows,Pr101049,9,44
U100280,0,0,117,Product101,Windows,Pr100340,0,0
U100281,0,2,837,Pr100806,Android,Pr100806,0,0
U100282,0,3,58,Pr100126,Windows,Pr100126,0,0
U100283,0,0,296,Product101,Windows,Product101,0,0
U100284,1,2,53,Pr100039,Android,Pr100039,1,0
U100286,0,1,836,Product101,Linux,Product101,0,0
U100288,2,2,71,Pr100633,Android,Pr100039,2,0
U100290,1,2,148,Pr100137,Mac OS X,Pr100137,0,11
U100291,3,3,47,Pr100054,Windows,Pr100466,2,1
U100292,1,4,105,Pr100301,Windows,Pr100301,2,2
U100293,1,5,369,Pr100431,Windows,Pr100431,0,2
U100294,0,3,319,Pr100416,Windows,Pr100416,0,0
U100295,1,2,727,Pr100166,Windows,Pr100166,1,1
U100297,4,11,928,Pr100206,Windows,Pr100206,9,1
U100298,1,1,52,Product101,Windows,Product101,1,17
U100300,0,1,416,Product101,Android,Product101,0,0
U100301,2,9,859,Pr100051,Windows,Pr101169,9,10
U100302,7,46,1027,Pr100655,Mac OS X,Pr100370,32,28
U100303,1,0,122,Product101,Windows,Pr100633,1,0
U100304,3,5,93,Pr100064,Mac OS X,Pr100097,6,30
U100305,2,2,638,Pr100308,Windows,Pr100308,2,1
U100306,1,1,214,Pr100000,Mac OS X,Pr100000,1,0
U100308,0,0,1499,Product101,Windows,Product101,0,0
U100309,3,4,44,Pr100404,Android,Pr100102,2,18
U100310,7,4,734,Pr100590,Windows,Pr100113,6,125
U100311,0,2,286,Pr100340,Mac OS X,Pr100340,0,0
U100313,0,2,1037,Pr100017,Windows,Pr101293,0,0
U100315,5,8,571,Pr101477,Windows,Pr100044,4,4
U100316,4,10,71,Pr100187,Windows,Pr100187,9,15
U100317,0,1,1725,Pr100166,Windows,Pr100166,0,0
U100318,3,3,734,Pr101273,Windows,Pr101273,4,0
U100319,2,5,2029,Pr100023,Android,Pr100098,4,0
U100321,2,4,48,Pr100615,Windows,Pr100615,2,1
U100323,3,2,373,Pr101483,Windows,Pr101483,3,3
U100324,1,1,61,Pr100401,Android,Pr100401,1,1
U100328,1,1,78,Pr100430,Android,Pr100430,3,0
U100329,2,4,290,Pr100017,Mac OS X,Pr100390,3,10
U100330,0,1,212,Pr100020,Windows,Pr100020,0,0
U100331,1,1,86,Pr100039,Android,Pr100039,1,1
U100333,1,2,390,Pr100041,Windows,Pr100041,1,0
U100334,1,2,2231,Pr102194,Windows,Pr102194,1,2
U100336,0,2,76,Pr100017,Windows,Pr100017,0,0
U100337,1,9,174,Pr100017,Windows,Pr100390,1,1
U100338,1,1,660,Pr100498,Android,Pr100498,2,0
U100340,0,0,1040,Product101,Mac OS X,Product101,0,0
U100341,1,4,2257,Pr101000,Windows,Pr100035,1,0
U100342,0,5,672,Pr100017,Windows,Pr100988,0,0
U100343,1,3,132,Pr100246,Windows,Pr101141,1,1
U100344,0,1,95,Pr100017,Windows,Pr100017,0,0
U100345,1,1,43,Product101,Windows,Product101,0,1
U100346,3,5,1767,Pr101761,Android,Pr101761,5,0
U100347,7,68,340,Pr101042,Mac OS X,Pr100486,333,6253
U100349,2,3,818,Pr100130,Windows,Pr100130,1,1
U100351,6,18,369,Pr100578,Windows,Pr100908,19,155
U100352,0,0,386,Product101,Windows,Product101,0,0
U100353,3,9,153,Pr100909,Windows,Pr101911,3,6
U100354,5,17,803,Pr100390,Windows,Pr100390,39,69
U100355,2,1,435,Pr100676,Android,Pr100676,3,0
U100356,0,0,78,Product101,Android,Pr100023,0,0
U100358,2,1,199,Pr100102,Android,Pr100102,3,0
U100359,1,1,359,Pr101422,Windows,Pr101422,1,1
U100360,1,2,520,Pr100938,Android,Pr100938,2,0
U100362,0,1,1109,Pr100753,Windows,Pr100753,0,0
U100363,2,2,83,Pr100258,Android,Pr100073,2,0
U100364,0,1,309,Product101,Windows,Product101,0,0
U100365,2,5,534,Pr100044,Windows,Pr100064,7,5
U100366,1,2,1582,Pr100119,Windows,Pr100119,2,0
U100367,2,6,956,Pr100868,Windows,Pr102165,3,0
U100368,0,0,56,Product101,Windows,Pr100321,0,0
U100369,0,3,350,Pr100064,Windows,Pr100064,0,0
U100370,2,2,108,Pr100085,Windows,Pr100312,5,0
U100371,0,0,79,Product101,Android,Product101,0,0
U100372,1,1,821,Pr100676,Android,Pr100676,1,0
U100374,6,1,95,Pr100166,Windows,Pr100166,35,0
U100375,1,1,48,Product101,Windows,Pr100366,0,0
U100376,1,1,1654,Product101,Windows,Product101,0,0
U100377,3,17,677,Pr100308,Windows,Pr100743,3,24
U100378,1,1,291,Pr100044,Android,Pr100044,1,0
U100379,1,2,1121,Product101,Android,Pr100102,0,2
U100380,4,1,717,Pr100036,Android,Pr100036,5,1
U100381,4,5,49,Pr101042,Windows,Pr101490,12,123
U100382,6,22,117,Pr100120,Windows,Pr101355,10,50
U100383,5,11,177,Pr100098,Android,Pr100025,9,1
U100384,0,3,56,Pr100020,Windows,Pr100020,0,0
U100386,2,2,319,Pr101058,Windows,Pr100771,2,0
U100387,4,8,103,Pr101590,Mac OS X,Pr100097,6,7
U100388,3,5,55,Pr100986,Android,Pr100182,4,0
U100389,1,2,77,Pr100654,Linux,Pr100654,1,0
U100390,4,19,78,Pr100287,Windows,Pr100515,23,24
U100391,4,4,67,Pr100166,Windows,Pr100200,4,5
U100394,4,6,213,Pr100166,Ubuntu,Pr100152,2,4
U100396,3,5,407,Pr100320,Windows,Pr100692,3,0
U100397,0,0,115,Product101,Windows,Pr101865,0,0
U100398,6,29,666,Pr101746,Windows,Pr101746,19,30
U100399,2,2,593,Pr100159,Android,Pr100369,2,1
U100400,2,1,91,Pr100036,Windows,Pr100036,1,0
U100401,0,3,1148,Pr100498,Windows,Pr100498,0,0
U100402,1,1,69,Pr100612,Linux,Pr100612,1,0
U100403,0,2,58,Pr100141,Android,Pr100141,0,0
U100405,5,17,178,Pr100136,Windows,Pr100890,14,3
U100406,3,3,52,Pr100025,Android,Pr100025,2,1
U100407,1,9,641,Pr100390,Windows,Pr100240,3,4
U100408,0,1,1198,Product101,Windows,Product101,0,0
U100409,0,1,105,Pr100102,Windows,Pr100102,0,0
U100410,6,18,872,Pr101042,Windows,Pr100232,31,197
U100411,3,6,2257,Pr100584,Windows,Pr100200,2,12
U100412,1,1,306,Pr101216,Windows,Pr101216,1,0
U100413,2,8,382,Pr101760,Android,Pr101760,9,8
U100414,1,3,90,Pr100352,Android,Pr100352,2,1
U100415,2,3,60,Pr100551,Windows,Pr100551,1,13
U100416,1,1,387,Pr100039,Android,Pr100039,1,0
U100417,3,3,192,Pr100209,Windows,Pr100350,3,0
U100418,4,2,1754,Pr100390,Windows,Pr100390,5,0
U100420,4,5,73,Pr100451,Windows,Pr100792,8,0
U100421,1,2,53,Pr100258,Android,Pr100258,0,0
U100422,1,1,291,Pr100560,Windows,Pr100560,1,0
U100423,6,8,310,Pr100390,Windows,Pr100390,18,15
U100425,3,9,81,Pr100390,Windows,Pr100390,7,8
U100427,1,3,48,Pr100833,Mac OS X,Pr100070,1,1
U100428,1,1,1108,Pr100200,Android,Pr100200,1,3
U100429,1,1,623,Pr100047,Windows,Pr100047,1,0
U100430,1,0,79,Product101,Windows,Product101,2,2
U100431,0,0,52,Product101,Windows,Pr100661,0,0
U100433,3,4,53,Pr100182,Android,Pr100182,2,0
U100434,2,6,577,Pr100340,Windows,Pr101166,5,28
U100435,0,0,382,Product101,Android,Pr100341,0,0
U100436,2,2,1518,Pr100102,Android,Pr100102,6,0
U100439,4,1,168,Pr100515,Ubuntu,Pr100515,7,0
U100440,1,1,121,Pr101211,Ubuntu,Pr101211,1,1
U100441,0,2,1540,Pr100130,Windows,Pr100130,0,0
U100443,5,3,327,Pr100390,Windows,Pr100390,18,13
U100445,0,1,60,Pr100017,Android,Pr100017,0,0
U100446,1,2,223,Pr100592,Android,Pr102519,1,0
U100447,3,5,449,Pr100446,Windows,Pr100446,7,0
U100449,5,6,417,Pr100166,Windows,Pr100166,6,13
U100450,5,3,244,Pr100712,Windows,Pr100225,8,6
U100451,0,1,326,Pr100106,Windows,Pr100106,0,0
U100452,1,2,209,Pr101267,Android,Pr101267,2,0
U100453,1,3,313,Pr100166,Linux,Pr100166,2,3
U100454,3,97,239,Pr100688,Windows,Pr101637,15,17
U100455,2,2,229,Pr100743,Android,Pr100743,3,1
U100457,2,3,189,Pr100194,Windows,Pr100194,0,42
U100458,1,1,761,Pr100321,Android,Pr100321,1,0
U100459,2,4,66,Pr100010,Android,Pr100182,3,1
U100460,2,7,128,Pr101042,Windows,Pr101042,13,19
U100461,4,1,51,Pr100060,Windows,Pr100060,8,2
U100462,0,0,1195,Product101,Android,Pr100675,0,0
U100463,2,3,78,Pr100190,Windows,Pr100190,2,9
U100464,0,29,268,Pr100390,Windows,Pr101938,0,0
U100465,4,7,481,Pr100166,Windows,Pr100390,11,6
U100466,1,2,812,Pr101609,Android,Pr101609,0,0
U100467,2,3,95,Pr100102,Windows,Pr102648,1,4
U100469,0,0,88,Product101,Windows,Product101,0,0
U100470,0,0,355,Product101,Windows,Product101,0,0
U100471,4,9,142,Pr100028,Windows,Pr100152,6,2
U100472,1,1,86,Pr100054,Mac OS X,Pr100054,1,0
U100473,2,6,294,Pr100430,Windows,Pr100430,2,9
U100474,1,6,89,Pr100483,Windows,Pr100483,3,4
U100475,6,2,745,Pr101679,Android,Pr101679,7,0
U100476,1,3,389,Pr100039,Android,Pr100039,1,0
U100477,2,4,1023,Pr100654,Windows,Pr100654,1,1
U100478,1,2,889,Pr100994,Windows,Pr100994,2,0
U100480,1,8,1425,Pr100095,Windows,Pr101257,10,5
U100482,0,0,370,Product101,Windows,Product101,0,0
U100483,0,5,1440,Pr100166,Windows,Pr103424,0,0
U100485,0,3,304,Pr100166,Windows,Pr100166,0,0
U100486,0,1,142,Pr100166,Windows,Pr100166,0,0
U100487,1,4,156,Pr100232,Windows,Pr100232,2,7
U100489,0,4,271,Pr100166,Windows,Pr100231,0,0
U100490,1,1,55,Pr100054,Linux,Pr100054,1,0
U100492,3,28,145,Pr100097,Windows,Pr105412,15,50
U100493,0,0,62,Product101,Windows,Pr100302,0,0
U100494,2,4,315,Pr100436,Mac OS X,Pr100436,1,15
U100495,0,2,105,Pr100108,Android,Pr103508,0,0
U100496,3,3,1628,Pr100217,Windows,Pr100758,4,17
U100497,0,1,65,Pr101421,Android,Pr101421,0,0
U100498,0,0,145,Product101,Windows,Pr100142,0,0
U100499,7,50,474,Pr101042,Windows,Pr100051,122,2247
U100500,1,8,2182,Pr100123,Android,Pr100123,8,17
U100501,2,6,57,Pr100330,Windows,Pr100330,3,5
U100502,1,2,74,Pr101104,Windows,Pr101104,1,0
U100503,6,18,168,Pr101367,Windows,Pr100811,72,940
U100504,1,7,808,Pr100515,Windows,Pr100515,7,5
U100506,3,1,114,Pr100340,Android,Pr100340,3,1
U100507,2,2,296,Pr100642,Windows,Pr100642,1,5
U100508,1,1,300,Product101,Android,Product101,0,1
U100509,1,4,2257,Pr102018,Windows,Pr100102,6,23
U100510,0,2,380,Pr101261,Android,Pr101261,0,0
U100511,0,1,1803,Product101,Mac OS X,Product101,0,0
U100512,0,0,210,Product101,Windows,Pr100321,0,0
U100513,0,1,194,Pr100348,Windows,Pr100348,0,0
U100514,0,1,1445,Pr100324,Android,Pr100324,0,0
U100515,0,1,436,Pr101121,Android,Pr101121,0,0
U100516,3,9,2257,Pr101035,Windows,Pr101515,7,3
U100517,2,7,1171,Pr100595,Windows,Pr101501,4,0
U100518,0,0,62,Product101,Windows,Product101,0,0
U100519,2,2,180,Pr100102,Windows,Pr100417,2,3
U100523,1,1,82,Pr100088,Windows,Pr100088,1,2
U100524,1,1,99,Pr100872,Android,Pr100872,1,0
U100525,0,0,1443,Product101,Windows,Product101,0,0
U100526,3,2,227,Pr101314,Mac OS X,Pr100263,3,0
U100527,1,5,714,Pr100390,Windows,Pr100390,1,3
U100528,1,2,90,Pr100430,Android,Pr100430,1,0
U100529,0,1,50,Pr100051,Android,Pr100051,0,0
U100530,2,3,112,Pr100352,Android,Pr100352,2,4
U100531,1,2,327,Pr100063,Windows,Pr100108,1,0
U100533,4,3,631,Pr100212,Linux,Pr100467,5,0
U100535,0,2,71,Pr100113,Mac OS X,Pr100850,0,0
U100536,1,1,522,Pr100102,Android,Pr100102,1,0
U100537,0,0,399,Product101,Windows,Pr100102,0,0
U100539,0,0,94,Product101,Windows,Pr100432,0,0
U100541,1,2,100,Pr101724,Windows,Pr100102,1,1
U100542,5,3,1940,Pr101611,Android,Pr101611,15,5
U100543,1,5,1094,Pr100054,Windows,Pr100054,0,3
U100544,1,1,185,Pr100613,Windows,Pr100613,1,1
U100545,2,2,63,Pr100986,Android,Pr100986,2,0
U100548,0,1,124,Product101,Windows,Product101,0,0
U100549,2,3,57,Pr100871,Android,Pr100871,3,0
U100550,3,9,1091,Pr101066,Android,Pr100722,5,0
U100552,0,1,111,Pr100166,Android,Pr100166,0,0
U100553,3,3,1235,Pr100895,Windows,Pr101923,2,4
U100554,1,4,86,Pr100962,Android,Pr100962,3,2
U100555,2,3,215,Pr100723,Android,Pr100430,1,0
U100556,1,1,121,Product101,Android,Product101,0,6
U100558,1,4,130,Pr101575,Windows,Pr101575,5,13
U100559,1,2,620,Pr100417,Windows,Pr100417,0,2
U100560,2,2,300,Pr100103,Windows,Pr101735,2,0
U100561,5,4,251,Pr100166,Windows,Pr100390,18,23
U100562,3,5,87,Pr100182,Android,Pr100025,4,2
U100564,1,1,2257,Pr100206,Windows,Pr100206,2,1
U100565,0,1,1272,Pr100819,Mac OS X,Pr100819,0,0
U100566,4,9,67,Pr100901,Windows,Pr100070,9,18
U100567,0,0,202,Product101,Android,Product101,0,0
U100570,6,16,579,Pr100291,Windows,Pr100291,19,8
U100571,1,3,145,Pr100258,Android,Pr100962,1,0
U100572,1,3,216,Pr100258,Windows,Pr100258,0,1
